,country_name,year,country_code,literacy_rate_adult_female_of_females_ages_15_and_above,literacy_rate_adult_male_of_males_ages_15_and_above,literacy_rate_adult_total_of_people_ages_15_and_above,literacy_rate_youth_male_of_males_ages_1524,literacy_rate_youth_total_of_people_ages_1524,number_of_deaths_ages_1014_years,number_of_deaths_ages_1519_years,number_of_deaths_ages_2024_years,number_of_deaths_ages_59_years,number_of_infant_deaths,number_of_infant_deaths_female,number_of_infant_deaths_male,number_of_maternal_deaths,number_of_neonatal_deaths,number_of_stillbirths,total_alcohol_consumption_per_capita_female_liters_of_pure_alco,total_alcohol_consumption_per_capita_male_liters_of_pure_alcoho,tuberculosis_death_rate_per_100000_people,unemployment_female_of_female_labor_force,unemployment_male_of_male_labor_force,unemployment_total_of_total_labor_force,capital_health_expenditure_of_gdp,cause_of_death_by_communicable_diseases_and_maternal_prenatal_a,cause_of_death_by_injury_of_total,cause_of_death_by_noncommunicable_diseases_of_total,children_014_living_with_hiv,children_ages_014_newly_infected_with_hiv,condom_use_population_ages_1524_female_of_females_ages_1524,condom_use_population_ages_1524_male_of_males_ages_1524,consumption_of_iodized_salt_of_households,contraceptive_prevalence_any_methods_of_women_ages_1549,contraceptive_prevalence_modern_methods_of_women_ages_1549,current_health_expenditure_of_gdp,demand_for_family_planning_satisfied_by_any_methods_of_married_,demand_for_family_planning_satisfied_by_modern_methods_of_marri,diabetes_prevalence_of_population_ages_20_to_79,exclusive_breastfeeding_of_children_under_6_months,external_health_expenditure_of_current_health_expenditure,external_health_expenditure_channeled_through_government_of_ext,external_health_expenditure_per_capita_ppp_current_internationa,country_name_dawn,country_code,year,expenditureoneducationasoftotalgovernmentexpenditure,governmentexpenditureoneducationasofgdp,governmentexpenditureoneducationnotspecifiedbylevel_constantppp,governmentexpenditureoneducationnotspecifiedbylevel_constantusm,governmentexpenditureoneducation_pppmillions,governmentexpenditureoneducation_usmillions,governmentexpenditureoneducation_constantpppmillions,governmentexpenditureoneducation_constantusmillions,grossenrolmentratiofortertiaryeducation_adjustedgenderparityind,grossenrolmentratiofortertiaryeducation_bothsexes,grossenrolmentratiofortertiaryeducation_female,grossenrolmentratiofortertiaryeducation_male,grossenrolmentratio_postsecondarynontertiary_bothsexes,grossenrolmentratio_postsecondarynontertiary_female,grossenrolmentratio_postsecondarynontertiary_genderparityindexg,grossenrolmentratio_postsecondarynontertiary_male,grossenrolmentratio_secondary_bothsexes,grossenrolmentratio_secondary_female,grossenrolmentratio_secondary_genderparityindexgpi,grossenrolmentratio_secondary_male,initialgovernmentfundingperpreprimarystudentasapercentageofgdpp,initialgovernmentfundingperprimarystudentasapercentageofgdpperc,initialgovernmentfundingpersecondarystudentasapercentageofgdppe,initialgovernmentfundingpertertiarystudentasapercentageofgdpper,initialhouseholdfundingpersecondarystudentasapercentageofgdpper,initialhouseholdfundingpertertiarystudentasapercentageofgdpperc,percentageofenrolmentinpostsecondarynontertiaryeducationinpriva,percentageofenrolmentinsecondaryeducationinprivateinstitutions,percentageofenrolmentintertiaryeducationinprivateinstitutions,percentageofgraduatesfromscience_technology_engineeringandmathe,percentageofgraduatesfromprogrammesotherthanscience_technology_,percentageofgraduatesfromtertiaryeducationgraduatingfromagricul,percentageofgraduatesfromtertiaryeducationgraduatingfromartsand,percentageofgraduatesfromtertiaryeducationgraduatingfrombusines,percentageofgraduatesfromtertiaryeducationgraduatingfromeducati,percentageofgraduatesfromtertiaryeducationgraduatingfromenginee,percentageofgraduatesfromtertiaryeducationgraduatingfromhealtha,percentageofgraduatesfromtertiaryeducationgraduatingfrominforma,percentageofgraduatesfromtertiaryeducationgraduatingfromnatural,percentageofgraduatesfromtertiaryeducationgraduatingfromservice,percentageofgraduatesfromtertiaryeducationgraduatingfromsocials,percentageofgraduatesfromtertiaryeducationgraduatingfromprogram,percentageoftotalaidtoeducationallocatedtoleastdevelopedcountri
0,Afghanistan,2005,AFG,0,0,0,0,0,2525,3924,5188,4716,85285,38913,46372,13000,61321,41051,0,0,47,14.90999985,10.78199959,11.4289999,0.12873553,0,0,0,200,100,0,0,0,13.6,12.5,9.94828987,0,0,0,0,15.71056557,19.49013888,15.1446085,Afghanistan,AFG,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.61681,9.00686,0.32642,27.59325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Afghanistan,2006,AFG,0,0,0,0,0,2698,3950,5153,4996,83559,38073,45486,13000,60571,41042,0,0,43,14.43099976,10.63399982,11.22399998,0.36553812,0,0,0,200,100,0,0,0,18.6,17.5,10.62276554,0,0,0,83,18.48848534,30.87218903,20.13145256,Afghanistan,AFG,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.25587,14.8405,0.36354,40.82196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Afghanistan,2007,AFG,0,0,0,0,0,2899,4080,5208,5268,81572,37152,44420,13000,59600,40923,0,0,39,14.72399998,10.3760004,11.04599953,0.75308651,0,0,0,200,100,0,0,0,0,0,9.90467453,0,0,0,0,16.17664719,31.25033095,16.59575081,Afghanistan,AFG,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.49334,15.32682,0.37504,40.86763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Afghanistan,2008,AFG,0,0,0,0,0,3101,4355,5376,5477,79334,36108,43226,12000,58432,40706,0,0,40,14.15400028,10.4119997,10.98499966,0.18537898,0,0,0,500,100,0,0,0,22.8,15.2,10.25649548,0,0,0,0,18.47561455,53.41716823,23.19308472,Afghanistan,AFG,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27289,2.49699,0.62527,3.99347,38.19398,22.53381,0.4255,52.95837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Afghanistan,2009,AFG,0,0,0,0,0,3252,4817,5682,5551,76979,35027,41952,12000,57037,40357,0,0,44,14.91100025,10.75,11.38700008,0.07316807,0,0,0,500,100,0,0,0,0,0,9.81848717,0,0,0,0,21.8033886,21.4300126,30.91357231,Afghanistan,AFG,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23639,3.77498,1.41213,5.97378,2.94064,1.78647,0.44488,4.01562,44.42038,28.58368,0.48135,59.38227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Afghanistan,2010,AFG,0,0,0,0,0,3299,5487,6170,5455,74524,33902,40622,11000,55545,39734,0.054,0.36,43,14.81499958,10.87899971,11.48400021,0.17126992,50.2,10.7,39.2,500,100,0,0,0,21.8,19.9,8.56967163,0,0,8.6,0,15.52872467,33.48490081,21.35536575,Afghanistan,AFG,2010.0,17.06756,3.47945,0.0,0.0,1737.08234,551.72194,2126.18774,537.00997,0.0,0.0,0.0,0.0,4.71624,2.97546,0.46937,6.33927,50.56725,33.30268,0.49785,66.89291,0.0,9.90851,10.99348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Afghanistan,2011,AFG,17.01783943,45.417099,31.44885063,61.87907028,46.99005127,3243,6400,6919,5192,71996,32720,39276,11000,53977,39160,0,0,44,14.78100014,10.875,11.48799992,0.10517058,0,0,0,500,100,0,0,54.8,21.2,20.3,8.56190681,0,0,0,0,21.13860512,29.50369401,28.95322037,Afghanistan,AFG,2011.0,16.04843,3.46201,0.0,0.0,1771.99935,616.38566,2124.54641,536.59542,0.34565,3.62226,1.82724,5.28638,6.68899,4.02799,0.43929,9.16926,51.75691,36.63596,0.55426,66.09835,0.0,10.29899,10.59883,74.96866,0.0,0.0,0.0,1.27354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Afghanistan,2012,AFG,0,0,0,0,0,3106,7508,7841,4841,69517,31567,37950,10000,52436,38702,0,0,44,14.81999969,10.87199974,11.50800037,0.13647778,0,0,0,500,100,0,0,0,0,13.8,7.89716816,0,0,0,0,21.17189598,21.3142821,30.34958649,Afghanistan,AFG,2012.0,10.3568,2.6042,0.0,0.0,1553.85019,520.88233,1801.93329,455.11321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.61805,38.10794,0.55749,68.35678,0.0,7.45584,7.6467,0.0,0.0,0.0,0.0,1.94761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Afghanistan,2013,AFG,0,0,0,0,0,2908,8773,8920,4414,67069,30409,36660,9600,50916,38042,0,0,43,14.68000031,10.8920002,11.5340004,0.18895136,0,0,0,500,100,0,0,0,0,0,8.80596447,0,0,0,0,22.91737556,28.99420275,37.10423279,Afghanistan,AFG,2013.0,14.1028,3.45446,0.0,0.0,2246.77765,710.27469,2524.12819,637.51755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.57513,37.84849,0.55226,68.53373,0.0,9.41579,9.53921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Afghanistan,2014,AFG,0,0,0,0,0,2662,10052,10036,3950,64829,29370,35459,9300,49416,37620,0,0,43,14.50500011,10.7840004,11.44799995,0.164755,0,0,0,500,100,0,0,0,0,0,9.52887821,0,0,0,0,21.98381996,34.34939678,39.97155762,Afghanistan,AFG,2014.0,14.46593,3.69522,0.0,0.0,2551.85932,756.96205,2773.61108,700.52929,0.276,8.23068,3.48702,12.63402,9.94819,8.69604,0.78194,11.12104,52.5829,37.33299,0.5564,67.09694,0.0,9.83779,10.09635,42.24158,0.0,0.0,7.37385,1.9775,41.78314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
