country_name,year,literacy_rate_adult_female_of_females_ages_15_and_above,literacy_rate_adult_male_of_males_ages_15_and_above,literacy_rate_adult_total_of_people_ages_15_and_above,number_of_deaths_ages_1014_years,number_of_deaths_ages_1519_years,number_of_deaths_ages_2024_years,number_of_deaths_ages_59_years,number_of_infant_deaths,number_of_infant_deaths_female,number_of_infant_deaths_male,number_of_maternal_deaths,number_of_neonatal_deaths,number_of_stillbirths,unemployment_female_of_female_labor_force,unemployment_male_of_male_labor_force,unemployment_total_of_total_labor_force,year,expenditureoneducationasoftotalgovernmentexpenditure,governmentexpenditureoneducationasofgdp,governmentexpenditureoneducationnotspecifiedbylevel_constantppp,governmentexpenditureoneducationnotspecifiedbylevel_constantusm,governmentexpenditureoneducation_pppmillions,governmentexpenditureoneducation_usmillions,governmentexpenditureoneducation_constantpppmillions,governmentexpenditureoneducation_constantusmillions,grossenrolmentratiofortertiaryeducation_adjustedgenderparityind,grossenrolmentratiofortertiaryeducation_bothsexes,grossenrolmentratiofortertiaryeducation_female,grossenrolmentratiofortertiaryeducation_male,grossenrolmentratio_postsecondarynontertiary_bothsexes,grossenrolmentratio_postsecondarynontertiary_female,grossenrolmentratio_postsecondarynontertiary_genderparityindexg,grossenrolmentratio_postsecondarynontertiary_male,grossenrolmentratio_secondary_bothsexes,grossenrolmentratio_secondary_female,grossenrolmentratio_secondary_genderparityindexgpi,grossenrolmentratio_secondary_male,initialgovernmentfundingperpreprimarystudentasapercentageofgdpp,initialgovernmentfundingperprimarystudentasapercentageofgdpperc,initialgovernmentfundingpersecondarystudentasapercentageofgdppe,initialgovernmentfundingpertertiarystudentasapercentageofgdpper,initialhouseholdfundingpersecondarystudentasapercentageofgdpper,initialhouseholdfundingpertertiarystudentasapercentageofgdpperc,percentageofenrolmentinpostsecondarynontertiaryeducationinpriva,percentageofenrolmentinsecondaryeducationinprivateinstitutions,percentageofenrolmentintertiaryeducationinprivateinstitutions,percentageofgraduatesfromscience_technology_engineeringandmathe,percentageofgraduatesfromprogrammesotherthanscience_technology_,percentageofgraduatesfromtertiaryeducationgraduatingfromagricul,percentageofgraduatesfromtertiaryeducationgraduatingfromartsand,percentageofgraduatesfromtertiaryeducationgraduatingfrombusines,percentageofgraduatesfromtertiaryeducationgraduatingfromeducati,percentageofgraduatesfromtertiaryeducationgraduatingfromenginee,percentageofgraduatesfromtertiaryeducationgraduatingfromhealtha,percentageofgraduatesfromtertiaryeducationgraduatingfrominforma,percentageofgraduatesfromtertiaryeducationgraduatingfromnatural,percentageofgraduatesfromtertiaryeducationgraduatingfromservice,percentageofgraduatesfromtertiaryeducationgraduatingfromsocials,percentageofgraduatesfromtertiaryeducationgraduatingfromprogram,percentageoftotalaidtoeducationallocatedtoleastdevelopedcountri
Afghanistan,32200,46.82304954,100.89254761000001,74.4685688,40467.0,119131.0,128434.0,64808.0,1050327.0,476633.0,573694.0,138100.0,787501.0,579235.0,231.53400040000002,169.90999985,180.75599958,28161.0,116.42359999999998,28.238369999999996,0.0,0.0,18630.378419999997,5442.6417,20367.15682,5144.12062,1.20327,25.31434,11.63147,38.10228,51.32107,39.57158,4.85631,62.3354,632.4749199999999,426.17504999999994,6.958689999999999,827.73927,0.0,76.19031,80.88686999999999,117.21024,0.0,0.0,29.556079999999998,19.515900000000002,91.59939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,32200,384.27048492,392.18058777,388.17205810999997,973.0,1880.0,2213.0,843.0,6160.0,2532.0,3628.0,85.0,3945.0,2444.0,228.31299879,236.50500297000002,233.18899917999997,30180.0,82.89748,24.300020000000004,71.55272000000001,24.86819,6872.840639999999,2681.78011,7727.68956,2685.76324,19.44071,722.59437,856.89237,597.48447,0.0,0.0,0.0,0.0,1352.14073,1340.99353,14.773129999999998,1362.5070299999998,0.0,64.04118,30.454400000000003,54.16923,1.55842,31.94386,0.0,70.45607,132.43655,108.45346,491.54654000000005,23.47741,63.74003999999999,179.12975999999998,62.43329,50.80908,92.45943,29.87138,27.772989999999997,12.775459999999999,57.53112,0.0,0.0
Algeria,32200,206.79050827,251.32283783,229.19256591000004,18407.0,28115.0,38888.0,21825.0,309048.0,141241.0,167807.0,13630.0,231875.0,156037.0,294.60300255000004,158.471998219,182.25200081100002,28161.0,11.42835,4.33702,920.66954,322.36045,19044.66904,7416.33862,16004.19952,5603.66208,17.12256,435.82194000000004,524.28369,350.39844000000005,0.0,0.0,0.0,0.0,595.3181400000001,611.17049,7.395860000000001,580.0916399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80935,0.0,201.14159,488.41964999999993,11.53675,151.25199000000003,166.51345,13.42943,111.42331999999999,29.148709999999998,24.02165,65.69662,4.78618,111.75314999999999,10.43876,0.0
Andorra,32200,0.0,0.0,0.0,7.0,18.0,34.0,4.0,44.0,20.0,24.0,0.0,22.0,26.0,0.0,0.0,0.0,30180.0,76.99562,39.68832,0.0,349.52031999999997,0.0,1323.08321,0.0,1214.86159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.59601,169.80092,169.72771,209.09463,0.0,0.0,0.0,39.657900000000005,62.900150000000004,142.39688,757.60312,0.0,26.51799,357.7001,102.13159999999999,31.08191,252.52316000000002,111.31497,0.0,2.12766,16.60262,0.0,0.0
Angola,32200,53.4072113,79.97415161,66.03011322,78138.0,131342.0,165939.0,180969.0,1125801.0,502190.0,623611.0,46300.0,566239.0,383486.0,99.406000375,100.036000251,99.74800086,18093.0,24.13191,7.822889999999999,119.43209,66.90987,9703.23974,4845.92532,11752.60224,6584.2028900000005,2.77693,37.52457,27.02364,38.509899999999995,0.0,0.0,0.0,0.0,147.39525,119.8186,3.48782,175.40467,0.0,0.0,0.0,152.97845999999998,0.0,0.0,0.0,64.18844999999999,224.20324,12.01046,87.98954,0.61836,1.02267,28.48422,33.08229,4.56635,11.04329,4.74076,2.70335,0.52323,13.21547,0.0,0.0
Argentina,32200,989.9783401499999,990.42292023,990.1874313299999,13902.0,39194.0,50155.0,11344.0,130219.0,56990.0,73229.0,4700.0,82286.0,59235.0,159.82200050900002,119.73500109099999,136.532999993,26143.0,191.74791,66.06433000000001,0.0,0.0,514403.93075999996,303143.15843999997,633686.5859000001,392424.56136,17.61684,982.97521,1200.57146,769.98795,0.0,0.0,0.0,0.0,1306.0792000000001,1360.23325,14.12767,1253.57406,143.49455999999998,179.44203999999996,258.75874,203.22001999999998,28.876099999999997,24.165219999999998,0.0,339.83802,310.44529,80.55259000000001,518.5630299999999,13.4957,60.61316,133.80988,110.28376,37.45025,99.89258,23.38571,19.716620000000002,32.16898,68.29896,0.88437,0.0
Armenia,32200,199.36751556000002,199.61157989999998,199.48047638,552.0,1497.0,2051.0,581.0,9902.0,4085.0,5817.0,172.0,6055.0,9693.0,267.994999888,244.23099899500002,255.329002365,30180.0,157.53526,37.794630000000005,610.66088,197.31091999999998,9432.591680000001,3655.2532300000003,11041.218260000001,3567.5327599999996,18.00393,729.63305,810.5406199999999,647.5660600000001,0.0,0.0,0.0,0.0,1103.77751,925.3366200000002,10.19872,909.4925199999999,123.87435,54.18603,29.44614,79.64944999999999,0.0,0.0,0.0,13.57851,63.08967,87.89283,484.64678000000004,14.14124,143.79300999999998,71.70745,60.88522999999999,36.72139,74.34031999999999,15.380969999999998,35.79048,18.63233,101.14716999999999,27.46038,0.0
Australia,32200,0.0,0.0,0.0,2135.0,7336.0,10810.0,1932.0,16877.0,7428.0,9449.0,226.0,11893.0,11816.0,86.27400016699998,83.017000912,84.490000248,28161.0,176.18777,65.64535,2552.01718,2821.33497,619218.8740700001,777046.7841299999,681027.97896,752897.77223,5.16652,460.52678,541.75281,383.28851999999995,530.58283,559.29313,4.52767,503.21068999999994,593.26523,557.58575,3.56518,627.17641,99.1634,244.86607999999998,96.90441,120.35708,15.36908,37.86604,194.78102,174.90548,72.78786,201.91959,896.6387299999999,9.976010000000002,115.31821,403.93724,95.95119000000003,93.33285000000001,178.85933000000003,53.77539000000001,54.81135,22.07497,70.52183000000001,1.44164,260.98476000000005
Austria,32200,0.0,0.0,0.0,679.0,2561.0,3622.0,511.0,4096.0,1798.0,2298.0,52.0,2939.0,2954.0,80.718000411,82.97099995699999,81.89899921599999,28161.0,138.45554,70.68385,0.0,0.0,268000.73758,281480.00567000004,315158.46063000005,274273.73761,6.964720000000001,924.84294,539.15119,452.48124000000007,690.2146299999999,911.7745300000001,37.59377,479.46617999999995,1394.7322900000001,1365.91171,13.446629999999999,1422.1415099999997,224.34061,301.62182,353.30451999999997,390.64766000000003,5.20669,0.0,388.17340999999993,138.52332,199.46321,331.22045,767.4207700000001,18.871550000000003,91.07669,266.07568,112.22309999999999,221.95254999999997,80.68169,53.217740000000006,56.05017000000001,103.62918,94.86289999999998,1.3587799999999999,45.00394000000001
Azerbaijan,32200,996.76170348,998.54594422,997.62628174,3552.0,6703.0,9514.0,4162.0,70311.0,29321.0,40990.0,645.0,43175.0,29241.0,98.27800131000001,81.44600009900002,89.698999881,30180.0,115.70180000000002,36.88806,5207.70549,1529.36886,47079.416280000005,17537.703540000002,44924.71342,13193.227640000001,14.994530000000001,318.93136000000004,333.21957,305.78646000000003,326.63401999999996,314.90641999999997,13.15321,337.54345,189.25557,189.20172,1.99894,189.30241999999998,196.17050999999998,0.0,0.0,174.20203,0.0,142.55975999999998,1225.5685600000002,25.175600000000003,164.87599999999998,205.76519,785.50981,7.829229999999999,139.02164000000002,228.21219000000002,227.88871,115.2943,69.26036,26.653350000000003,63.81755000000001,56.46615,56.83154,8.72499,0.0
Bahrain,32200,372.94820404,388.22785186,382.91216278,234.0,522.0,1002.0,311.0,2118.0,1008.0,1110.0,44.0,967.0,1885.0,54.14999961700001,4.7599999539999995,15.127000034,30180.0,72.16956,20.53174,342.7257,170.55864,12306.06412,5831.660630000001,11931.785799999998,5937.8948,16.642129999999998,457.88754,640.4004699999999,320.33935,554.68138,431.52452999999997,4.55391,666.86507,1355.74119,1382.48138,14.55119,1331.57771,0.0,31.961910000000003,49.17597000000001,21.42945,13.66635,53.031169999999996,521.7105600000001,313.45492999999993,197.27162,121.09344000000002,545.9446800000001,0.0,50.568380000000005,320.78193000000005,39.373830000000005,67.69461,60.581419999999994,35.23962,18.159200000000002,18.30878,56.33036,32.961879999999994,0.0
Bangladesh,32200,614.1124839800001,675.9244346799999,644.78805161,171791.0,262181.0,249557.0,220855.0,1681033.0,764280.0,916753.0,101200.0,1227956.0,1396312.0,106.081001283,51.99600005099999,66.67800021099998,30180.0,134.23919,17.46372,0.0,0.0,67302.90888999999,21388.053150000003,75295.52505999999,27529.48428,7.765639999999999,163.44847,130.77366,195.10277000000002,37.78929,14.07848,3.3953199999999994,60.55883,810.4377400000001,856.53296,15.597809999999997,766.2516700000001,0.0,31.856379999999998,99.10864999999998,210.67282,0.0,0.0,637.7924399999999,1226.9708999999998,512.4690499999999,33.69813,266.30187,3.3604000000000003,93.86607,81.42334,3.64185,4.3031,5.2831399999999995,5.5174900000000004,23.87752,0.58799,78.13911,0.0,0.0
Barbados,32200,99.59999847,99.59999847,99.59999847,78.0,169.0,251.0,38.0,658.0,292.0,366.0,14.0,468.0,403.0,169.983999256,154.411999707,162.03499985500002,30180.0,157.64456,52.85622,13.96329,14.79318,2357.87982,2374.8783399999998,2388.6163300000003,2530.58148,6.17647,270.66295,372.24874000000005,169.59093000000001,616.5776900000001,571.0716199999999,11.51954,660.99187,1367.96894,1385.87475,13.33954,1350.81316,16.79287,61.87311,158.67973,110.03601,42.23048,0.0,0.42171,76.82994000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,32200,199.21916962,199.55767059,199.37361908,1344.0,4513.0,9878.0,1299.0,6313.0,2670.0,3643.0,72.0,3129.0,4138.0,73.732000113,120.49399947899997,97.35200023799999,28161.0,140.39369,60.690290000000005,4842.48484,1526.3057600000002,89712.45279,32981.14976,96244.31052,30335.303330000002,17.71329,1151.10123,1331.6710099999998,980.1310000000001,187.17794000000004,145.80683000000002,7.3000799999999995,226.25135000000003,1172.6731,1157.79487,10.73369,1186.74546,236.31679,0.0,35.66614,211.86437999999998,0.54187,13.42303,16.11553,5.11576,161.96047,151.87108,348.12892000000005,30.05737,25.87721,177.08709,56.2699,126.34341,31.026070000000004,12.91508,12.6126,17.61475,10.19653,0.0,0.0
Belgium,32200,0.0,0.0,0.0,970.0,2800.0,4760.0,878.0,6409.0,2737.0,3672.0,98.0,4327.0,5765.0,120.58999967600002,118.941999914,119.57699966300001,28161.0,120.14025000000001,64.00587,7324.52775,6395.09542,300940.71223,313350.7075,343107.22165,299569.26826,17.06187,974.28288,1096.9735500000002,855.72133,724.62778,759.40489,15.43095,691.22204,2229.78424,2372.11398,15.86366,2093.56806,159.87949,109.14197000000001,0.0,264.01436,0.0,5.62596,1142.7283200000002,812.0727100000001,627.4439399999999,202.7275,959.06193,27.149190000000004,127.06590999999997,242.26689000000002,135.14404,135.02881000000002,282.98474999999996,23.588450000000005,44.11022,18.203799999999998,126.24731,38.21056,347.89383
Belize,32200,0.0,0.0,0.0,207.0,540.0,861.0,183.0,1689.0,747.0,942.0,52.0,1078.0,960.0,197.125997534,86.60699987600002,127.78800010900001,30180.0,191.23512999999997,60.955690000000004,136.27961,91.4623,1516.19162,960.0435400000001,1513.12448,1015.5140500000001,20.819679999999998,330.65455,410.34792000000004,250.92105,64.79474,78.67715999999999,4.62767,51.0484,1190.5068500000002,1217.1583699999999,15.69656,1164.1286699999998,88.24101,193.41841,293.94744000000003,295.13884,0.0,0.0,300.0,793.73436,555.9583299999999,18.01059,77.92819,2.00118,2.88405,39.02295,16.18599,1.29488,4.29665,4.23779,12.47793,10.41789,3.11948,4.06121,0.0
Benin,32200,71.60843849,139.55345917,104.01332855,30066.0,32038.0,30264.0,64933.0,373039.0,166429.0,206610.0,21700.0,187930.0,132351.0,31.598999798999998,28.551999807,30.055000187,28161.0,260.30684,39.72287,6.02802,2.25041,10239.247280000001,4273.31456,11034.882870000001,4119.59656,4.87394,162.94,85.44301,227.71572,0.0,0.0,0.0,0.0,279.21903000000003,227.9073,3.4529300000000003,329.30708,59.707390000000004,72.43363000000001,26.99009,643.32444,44.05697,598.22395,0.0,80.83515,293.90259000000003,69.10749,319.78445,12.25003,42.782270000000004,194.18875,14.53539,25.8531,20.803610000000003,19.24702,24.007369999999998,9.48226,25.7421,11.10806,0.0
Bhutan,32200,140.96878815000002,206.07069396999998,174.69339753,1086.0,1536.0,1639.0,903.0,6510.0,2910.0,3600.0,423.0,4252.0,2373.0,60.067999363000006,35.565999864,45.912000178999996,28161.0,207.65554999999998,66.2581,29.56828,8.28632,3653.95764,1106.84407,3973.8307999999993,1113.64032,6.740179999999999,81.42855,67.0675,94.56043000000001,1.2475,0.93991,1.81717,1.5364999999999998,965.8210700000001,990.9564099999999,14.56717,941.6617000000001,0.0,65.02735000000001,227.32846,286.72875,0.0,0.0,0.0,135.79556,24.2716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,32200,528.17547608,577.02618407,551.7512130800001,7606.0,17863.0,16410.0,10424.0,113855.0,49923.0,63932.0,6740.0,74063.0,42952.0,54.909999369999994,38.693999649000006,45.63400030099999,28161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.28886,1223.34653,13.78147,1242.83953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.83283999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,32200,87.45121002,86.12213898,86.82318115,1850.0,3246.0,8379.0,3394.0,22468.0,9947.0,12521.0,1289.0,10763.0,13022.0,333.97100259,237.78600024999997,283.58100128,26149.0,72.80872000000001,29.162999999999997,161.55756000000002,67.80309,6321.69848,2907.24629,7205.09792,3023.86276,8.00956,266.72371,173.04364,135.4307,16.74019,14.07581,0.72524,19.40842,333.63,342.96923,4.23174,324.39453,0.0178,40.82341,120.04759,714.15308,0.0,0.0,1.59297,7.04529,350.36752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,32200,1190.51337434,1184.134552,1187.46102905,79081.0,300291.0,412317.0,57905.0,734013.0,314043.0,419970.0,25500.0,480921.0,378420.0,183.26799965299998,120.15900088,147.10699843199998,28161.0,190.57939,72.96261999999999,0.0,0.0,2033450.68554,1409784.84145,2106892.4679199997,1440216.1701500001,6.140499999999999,172.83665000000002,195.35074000000003,150.4946,132.07478,151.63448999999997,6.682460000000001,113.65215,485.11097,511.63217,5.565580000000001,459.70979,84.8328,230.33293999999998,239.20916,364.16596000000004,0.0,0.0,354.23778000000004,174.0858,873.9957499999999,172.41539,991.33196,25.22335,35.86624,410.5605,259.97693,99.82138,168.21622000000002,42.26021,30.333789999999997,29.67385,61.81492000000001,36.25264,0.0
Bulgaria,32200,97.98390198,98.74723053,98.35244751,1180.0,2771.0,4465.0,1071.0,8593.0,3708.0,4885.0,108.0,4861.0,6693.0,125.06600021800001,139.49899912,132.79500055100002,28161.0,117.59107,39.303940000000004,0.0,0.0,42843.70182,19293.07782,50705.73494,19773.99451,16.91127,843.2948299999999,944.9832799999997,747.6174700000001,19.869480000000003,19.865360000000003,12.77158,19.866889999999998,1328.6149899999998,1303.13812,13.486450000000001,1352.6760599999998,282.4461,210.00839,210.97908999999999,191.14543,0.0,163.82862,971.3895699999999,31.67676,247.23268000000002,269.16238,1030.7562999999998,23.151360000000004,89.17735999999998,446.67444,88.11641,199.82638000000006,92.26605,35.17896,34.157050000000005,89.32542000000001,202.04522,0.08132,0.0
Burundi,32200,159.02253723,199.01172257,177.97287749999998,36935.0,32707.0,31979.0,62323.0,308124.0,136136.0,171988.0,32200.0,150414.0,158199.0,18.68599993,33.621999738999996,25.846000193000002,30180.0,210.25108,67.94246,165.74739,62.778380000000006,4645.312800000001,1629.60275,5315.80743,2013.4121700000003,4.70259,44.3323,23.113619999999997,49.734539999999996,0.0,0.0,0.0,0.0,447.91956999999996,425.7396799999999,12.0609,470.23973,0.5428999999999999,81.97388000000001,198.96833999999998,1828.88506,85.20695,245.27269,0.0,120.0154,553.50032,76.51149,317.30833,7.16797,24.594160000000002,121.68224000000001,41.20104,17.51792,83.33977999999999,24.14041,34.85316,4.24635,35.0768,6.18019,0.0
Cambodia,32200,285.51109314,340.26672364,311.59083557,12481.0,22036.0,28006.0,23534.0,186468.0,80307.0,106161.0,11210.0,107642.0,87007.0,12.969999998,11.291000066000002,12.103000016,28164.0,68.36912000000001,13.99315,0.0,0.0,6144.34058,2059.6788500000002,6509.89542,2295.58039,7.23808,120.82464,98.26839999999999,143.00904,12.5337,8.67597,2.08114,16.288690000000003,127.64502999999999,115.24137000000002,2.47508,139.52041000000003,17.315,30.68016,0.0,20.63378,0.0,263.99055,217.82729999999998,3.20046,377.03644,49.890420000000006,237.11768,6.04158,36.642649999999996,117.46687,11.09133,14.785770000000001,8.75385,24.505989999999997,10.598659999999999,5.72969,51.39169,12.99191,0.0
Cameroon,32200,199.40783309,239.90568542,219.04148864,73643.0,89636.0,115550.0,155610.0,770950.0,341935.0,429015.0,62500.0,367479.0,265246.0,66.332000733,50.413000106,57.934000254,28161.0,232.83554,40.04551,3.6488199999999997,1.46291,25448.506129999998,11490.74158,27873.378560000005,11175.211290000001,11.00554,161.21381000000002,142.55738000000002,179.75399999999996,22.35084,26.464530000000003,11.111070000000002,18.26856,490.0388,445.85964,9.10477,533.7460599999999,33.9778,47.34053,187.19442,312.06423,71.02296,264.53672,94.98095,247.41890999999998,149.77316,64.99463,233.30537,1.59412,22.961779999999997,113.13281999999998,18.56362,14.8037,4.37493,7.5181700000000005,42.67276,0.08431,72.59379,1.7,0.0
Canada,32200,0.0,0.0,0.0,3635.0,12247.0,19595.0,2542.0,26790.0,12063.0,14727.0,541.0,20518.0,16502.0,99.09499979,114.971999645,107.49399995800002,28161.0,73.55533,29.69778,0.0,0.0,377777.08024000004,413666.85983999993,424243.37315,386292.03824,15.155809999999999,780.7440499999999,902.2944499999999,665.18299,0.0,0.0,0.0,0.0,1495.41301,1490.3186899999998,13.89928,1500.28246,0.0,17.52583,18.32883,371.81514000000004,0.79599,39.6368,0.0,93.66853,0.0,104.85829,382.28464999999994,8.392009999999999,52.25969,128.2478,34.50056,57.08152,70.79808,13.993020000000001,33.78375,14.59931,73.48722,12.857050000000001,521.14652
