country_name,year,country_code,literacy_rate_adult_female_of_females_ages_15_and_above,literacy_rate_adult_male_of_males_ages_15_and_above,literacy_rate_adult_total_of_people_ages_15_and_above,literacy_rate_youth_male_of_males_ages_1524,literacy_rate_youth_total_of_people_ages_1524,number_of_deaths_ages_1014_years,number_of_deaths_ages_1519_years,number_of_deaths_ages_2024_years,number_of_deaths_ages_59_years,number_of_infant_deaths,number_of_infant_deaths_female,number_of_infant_deaths_male,number_of_maternal_deaths,number_of_neonatal_deaths,number_of_stillbirths,total_alcohol_consumption_per_capita_female_liters_of_pure_alco,total_alcohol_consumption_per_capita_male_liters_of_pure_alcoho,tuberculosis_death_rate_per_100000_people,unemployment_female_of_female_labor_force,unemployment_male_of_male_labor_force,unemployment_total_of_total_labor_force,capital_health_expenditure_of_gdp,cause_of_death_by_communicable_diseases_and_maternal_prenatal_a,cause_of_death_by_injury_of_total,cause_of_death_by_noncommunicable_diseases_of_total,children_014_living_with_hiv,children_ages_014_newly_infected_with_hiv,condom_use_population_ages_1524_female_of_females_ages_1524,condom_use_population_ages_1524_male_of_males_ages_1524,consumption_of_iodized_salt_of_households,contraceptive_prevalence_any_methods_of_women_ages_1549,contraceptive_prevalence_modern_methods_of_women_ages_1549,current_health_expenditure_of_gdp,demand_for_family_planning_satisfied_by_any_methods_of_married_,demand_for_family_planning_satisfied_by_modern_methods_of_marri,diabetes_prevalence_of_population_ages_20_to_79,exclusive_breastfeeding_of_children_under_6_months,external_health_expenditure_of_current_health_expenditure,external_health_expenditure_channeled_through_government_of_ext,external_health_expenditure_per_capita_ppp_current_internationa
Afghanistan,2011,AFG,17.01783943,45.417099,31.44885063,61.87907028,46.99005127,3243,6400,6919,5192,71996,32720,39276,11000,53977,39160,0,0,44,14.78100014,10.875,11.48799992,0.10517058,0,0,0,500,100,0,0,54.8,21.2,20.3,8.56190681,0,0,0,0,21.13860512,29.50369401,28.95322037
Afghanistan,2018,AFG,29.80521011,55.47544861,43.01971817,74.08480072,65.42054749,2030,12310,12990,2744,57394,25852,31542,0,44503,35934,0.055,0.36,29,13.90600014,10.2869997,11.05700016,0,0,0,0,500,200,0,0,0,0,0,9.39572716,0,0,0,57.5,16.44491768,48.59419465,30.65452385
Albania,2008,ALB,94.68180847,97.30619812,95.93863678,98.537117,98.83120728,84,152,179,76,510,205,305,7,298,183,0,0,0.53,13.75199986,12.54899979,13.06000042,0.32599965,0,0,0,0,0,0,0,0,0,0,5.139081,0,0,0,0,2.72849321,54.44400954,11.32504749
Albania,2018,ALB,97.76112366,98.51361847,98.14115143,99.05000305,99.33000183,38,77,94,32,289,124,165,0,243,137,2.68,11.63,0.29,11.22900009,13.12699986,12.34000015,0.16873735,0,0,0,0,0,0,0,64.6,46,3.7,5.26271439,75.2,6,0,36.5,1.34841347,72.70364138,9.40255356
Albania,2011,ALB,95.69148254,98.00816345,96.84529877,98.73136139,98.7911911,69,144,163,55,384,158,226,8,222,156,0,0,0.29,13.76200008,13.27400017,13.48099995,0.36221075,0,0,0,0,0,0,0,0,0,0,4.79532719,0,0,0,0,1.10563171,40.60481878,5.36877489
Algeria,2006,DZA,63.91878891,81.28404236,72.64868164,94.38147736,91.7796402,1576,2250,2921,1600,19542,8945,10597,890,14325,10860,0,0,8.6,16.05500031,11.58199978,12.27000046,0,0,0,0,200,100,0,0,0,61.4,53.9,3.35510325,0,74.65374,0,6.9,0.05226555,52.99112385,0.19955096
Algeria,2018,DZA,75.32296753,87.42295837,81.40783691,97.59406281,97.4265213,1153,1520,2148,1506,20875,9489,11386,0,16407,9768,0.25,1.63,7.6,21.05800056,9.925999641,11.88199997,0,0,0,0,1000,200,0,0,0,0,0,6.2184267,0,0,0,0,0.02695344,23.47612305,0.25948596
Angola,2014,AGO,53.4072113,79.97415161,66.03011322,84.86238098,77.43112946,5016,8408,10788,11148,69089,30617,38472,3000,36745,25392,0,0,61,7.718999863,6.941999912,7.330999851,0,0,0,0,29000,5400,0,0,0,0,0,2.43412876,0,0,0,0,3.1701467,41.93404709,5.55533123
Argentina,2010,ARG,98.92807007,98.98532104,98.95497131,99.0121994,99.29863739,985,2782,3353,816,9550,4184,5366,380,5689,3624,4.43,14.09,1.4,9.196000099,6.666999817,7.714000225,0.02510831,14.1,5.9,79.9,0,0,0,0,0,0,0,9.44546413,0,0,5.7,0,0.31598705,11.25978378,5.51450491
Armenia,2011,ARM,99.69035339,99.80608368,99.74440765,99.81842041,99.84739685,34,103,150,37,697,287,410,13,426,671,0,0,4.2,19.65200043,17.36599922,18.44300079,0.14788459,0,0,0,0,0,0,0,0,0,0,9.37588787,0,0,0,0,3.15005517,5.305610324,20.73258209
Armenia,2017,ARM,99.67716217,99.80549622,99.73606873,99.82128143,99.84702301,35,88,128,43,490,205,285,11,297,571,0,0,1.2,17.47100067,17.90600014,17.70499992,0.06770248,0,0,0,0,0,0,0,0,0,0,10.36270523,0,0,0,0,1.2871294,21.81352735,12.83246136
Azerbaijan,2010,AZE,99.69262695,99.85443878,99.77114105,99.967453,99.95059967,238,495,687,267,5215,2169,3046,51,3268,2093,0.99,5.07,8.9,6.925000191,4.400000095,5.630000114,0.42623338,10.9,4.7,84.3,200,100,0,0,0,0,0,2.48996663,0,0,7.5,0,1.48377061,75.04174342,5.88263178
Azerbaijan,2007,AZE,99.38394165,99.82096863,99.59319305,99.98931122,99.989151,304,516,669,319,5603,2337,3266,49,3445,2167,0,0,4.2,5.256000042,7.724999905,6.539999962,0.02679736,0,0,0,200,100,0,0,0,0,0,1.99021435,0,0,0,0,1.71862221,59.75489092,4.2810359
